,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,time_to_rent
805,14,26,43.0,35000,Кировский,Ленинский проспект,1.0,1.0,0.0,0.0,0.0,1.0,12.0,2.9,1.0,1 лоджия,Во двор,Евроремонт,2010.0,Кирпичный,Подземная,1
806,10,12,40.0,25000,Красногвардейский,Проспект Большевиков,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.6,1.0,1 лоджия,На улицу,Евроремонт,1987.0,Панельный,Наземная,1
807,15,25,32.5,23000,Приморский,Комендантский проспект,1.0,1.0,0.0,1.0,0.0,1.0,10.5,2.7,1.0,1 лоджия,На улицу,Евроремонт,2019.0,Монолитно-кирпичный,Подземная,1
808,9,14,37.0,50000,Приморский,Лесная,1.0,1.0,1.0,0.0,1.0,1.0,15.0,2.6677996422182466,1.0,нет балкона,На улицу,Евроремонт,2021.0,Монолитный,Открытая,1
809,4,18,43.6,50000,Московский,Фрунзенская,1.0,1.0,1.0,1.0,0.0,1.0,17.0,2.6677996422182466,1.0,нет балкона,Во двор,Евроремонт,2016.0,Монолитный,Открытая,0
810,4,16,40.0,37000,Московский,Московская,1.0,1.0,0.0,0.0,0.0,1.0,12.0,2.8,1.0,1 лоджия,Во двор,Евроремонт,2015.0,Кирпичный,Подземная,0
811,1,20,36.0,25000,Кировский,Проспект Ветеранов,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.7,1.0,нет балкона,Во двор,Косметический,2001.0,Кирпичный,Наземная,2
812,4,25,34.7,28000,Невский,Проспект Большевиков,1.0,1.0,1.0,1.0,0.0,1.0,9.8,2.7,1.0,1 балкон,Во двор,Косметический,2013.0,Панельный,Наземная,2
813,2,9,29.0,27000,Кировский,нет метро,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.5,1.0,1 балкон,На улицу,Косметический,1966.0,Кирпичный,Наземная,0
814,3,21,37.5,30000,Красносельский,Ленинский проспект,1.0,1.0,1.0,0.0,0.0,0.0,10.7,2.7,1.0,2 лоджии,Во двор,Евроремонт,2010.0,Монолитный,Наземная,2
815,2,5,35.0,23000,Московский,Московская,1.0,1.0,1.0,0.0,0.0,0.0,6.8,2.5,1.0,1 балкон,Во двор,Косметический,1964.0,Кирпичный,Наземная,0
816,2,6,35.0,40000,Центральный,Площадь Восстания,1.0,1.0,1.0,0.0,0.0,1.0,8.0,2.6677996422182466,1.0,нет балкона,Во двор,Косметический,1881.0,Кирпичный,Наземная,2
817,3,11,40.5,26000,Кировский,Ленинский проспект,1.0,1.0,0.0,0.0,0.0,1.0,12.0,2.7,1.0,1 балкон,Во двор,Косметический,2005.0,Монолитный,Наземная,0
818,9,26,45.0,23000,Калининский,Лесная,1.0,1.0,1.0,0.0,0.0,1.0,14.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2014.0,Монолитный,Наземная,2
819,3,9,26.9,20000,Пушкинский,нет метро,1.0,1.0,1.0,0.0,0.0,0.0,8.0,2.5,1.0,1 балкон,Во двор,Евроремонт,1989.0,Кирпичный,Наземная,2
820,9,22,34.0,25000,Приморский,Беговая,1.0,1.0,1.0,1.0,0.0,1.0,11.0,2.6,1.0,1 балкон,Во двор,Евроремонт,2023.0,Кирпичный,Наземная,2
821,13,24,42.9,35000,Московский,Звездная,0.0,1.0,1.0,0.0,1.0,1.0,18.0,2.6677996422182466,1.0,1 лоджия,На улицу,Дизайнерский,2007.0,Кирпичный,Открытая,2
822,5,18,40.0,30000,Приморский,Старая Деревня,1.0,1.0,1.0,0.0,0.0,0.0,10.0,2.7,1.0,1 балкон,Во двор,Косметический,2008.0,Панельный,Наземная,1
823,13,19,38.0,33000,Невский,Пролетарская,1.0,1.0,1.0,0.0,0.0,1.0,9.5,2.8,1.0,1 лоджия,Во двор,Евроремонт,2009.0,Монолитный,Наземная,2
824,4,9,33.0,20000,Красносельский,Проспект Ветеранов,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.5,1.0,1 балкон,На улицу,Косметический,1971.0,Панельный,Наземная,2
825,8,16,42.0,44000,Приморский,Пионерская,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.7,1.0,1 балкон,На улицу и двор,Евроремонт,2021.0,Монолитный,Наземная,1
826,12,13,32.0,25000,Приморский,Беговая,1.0,1.0,0.0,1.0,0.0,1.0,9.0,2.7,1.0,1 лоджия,На улицу и двор,Дизайнерский,2020.0,Блочный,Наземная,2
827,4,5,31.4,28000,Московский,Электросила,1.0,1.0,1.0,0.0,0.0,0.0,5.5,2.5,1.0,1 балкон,Во двор,Косметический,1960.0,Панельный,Наземная,1
828,4,20,43.0,45000,Приморский,Комендантский проспект,1.0,1.0,1.0,0.0,0.0,1.0,22.0,2.7,1.0,2 лоджии,Во двор,Евроремонт,2022.0,Монолитный,Многоуровневая,2
829,5,17,33.0,23000,Приморский,Беговая,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.6677996422182466,1.0,нет балкона,На улицу и двор,Евроремонт,2023.0,Кирпичный,Наземная,2
830,4,5,45.2,40000,Курортный,нет метро,1.0,1.0,1.0,1.0,0.0,0.0,11.0,2.6677996422182466,1.0,нет балкона,Во двор,Евроремонт,2017.0,Панельный,Наземная,0
831,6,9,39.5,25000,Петродворцовый,Ленинский проспект,1.0,1.0,1.0,0.0,0.0,1.0,8.3,2.6677996422182466,1.0,нет балкона,Во двор,Косметический,2002.0,Панельный,Открытая,2
832,14,15,43.1,36000,Калининский,Гражданский проспект,1.0,1.0,1.0,0.0,0.0,1.0,13.1,2.8,1.0,1 лоджия,Во двор,Евроремонт,2008.0,Монолитный,Подземная,2
833,6,10,34.0,21000,Выборгский,Озерки,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.5,1.0,нет балкона,Во двор,Косметический,1978.0,Панельный,Наземная,2
834,9,9,39.0,30000,Выборгский,Озерки,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.6677996422182466,1.0,1 лоджия,На улицу,Евроремонт,2011.0,Кирпичный,Наземная,2
835,2,5,32.0,35000,Адмиралтейский,Нарвская,1.0,1.0,0.0,0.0,0.0,1.0,10.0,2.8,1.0,нет балкона,Во двор,Дизайнерский,1932.0,Кирпичный,Наземная,2
836,19,21,39.6,22500,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,1.0,11.0,2.7,1.0,1 лоджия,Во двор,Евроремонт,2018.0,Монолитный,Наземная,2
837,7,12,40.0,40000,Приморский,Черная речка,1.0,1.0,1.0,1.0,0.0,1.0,12.0,2.6677996422182466,1.0,1 балкон,На улицу и двор,Евроремонт,2004.0,Кирпичный,Открытая,0
838,5,11,42.0,45000,Приморский,Черная речка,1.0,1.0,0.0,1.0,0.0,1.0,12.0,2.6677996422182466,1.0,1 балкон,Во двор,Евроремонт,2022.0,Панельный,Открытая,0
839,7,19,33.0,26000,Приморский,Комендантский проспект,1.0,1.0,1.0,0.0,0.0,0.0,8.5,2.8,1.0,1 лоджия,На улицу,Косметический,2005.0,Кирпичный,Наземная,1
840,8,25,40.0,33000,Калининский,Гражданский проспект,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.8,1.0,1 балкон,Во двор,Косметический,2007.0,Монолитный,Наземная,1
841,2,13,36.0,32000,Курортный,нет метро,1.0,1.0,0.0,0.0,0.0,1.0,12.0,2.6677996422182466,1.0,1 балкон,Во двор,Евроремонт,2017.0,Кирпичный,Наземная,2
842,4,5,30.8,20000,Красносельский,Проспект Ветеранов,1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.5,1.0,нет балкона,На улицу,Косметический,1970.0,Панельный,Наземная,0
843,7,28,35.0,27000,Выборгский,Парнас,1.0,1.0,1.0,0.0,0.0,0.0,10.2,2.6,1.0,1 лоджия,Во двор,Евроремонт,2017.0,Кирпичный,Подземная,2
844,7,27,59.0,60000,Фрунзенский,Проспект Славы,1.0,1.0,1.0,1.0,0.0,1.0,14.0,2.9,1.0,1 лоджия,На улицу,Евроремонт,2009.0,Монолитный,Наземная,2
845,7,16,38.3,30000,Фрунзенский,Проспект Славы,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2014.0,Монолитный,Подземная,1
846,8,9,40.0,35000,Приморский,Озерки,1.0,1.0,0.0,1.0,0.0,1.0,10.0,2.6,1.0,1 балкон,Во двор,Дизайнерский,2002.0,Панельный,Наземная,2
847,10,12,33.0,39000,Василеостровский,Приморская,1.0,1.0,0.0,1.0,0.0,1.0,8.0,2.5,1.0,нет балкона,На улицу и двор,Евроремонт,1972.0,Панельный,Наземная,2
848,24,25,38.0,25000,Невский,Проспект Большевиков,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.6677996422182466,1.0,1 балкон,Во двор,Косметический,2013.0,Панельный,Наземная,0
849,1,4,48.3,70000,Приморский,Беговая,1.0,1.0,1.0,1.0,0.0,1.0,30.0,2.7,1.0,нет балкона,На улицу,Дизайнерский,2015.0,Монолитный,Наземная,3
850,23,24,33.0,25000,Невский,Ломоносовская,1.0,1.0,0.0,1.0,0.0,1.0,9.0,2.5,1.0,1 лоджия,На улицу,Евроремонт,2020.0,Монолитно-кирпичный,Наземная,2
851,6,9,29.0,27000,Московский,Московская,1.0,1.0,1.0,0.0,0.0,1.0,7.5,2.5,1.0,нет балкона,Во двор,Евроремонт,1963.0,Кирпичный,Наземная,3
