,id,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,adress,time_to_rent,m_lat,m_long,a_lat,a_long,time_to_metro
162,298454093.0,7,12,32.7,29000,Пушкинский,Купчино,1.0,1.0,1.0,0.0,0.0,1.0,11.5,2.6,1.0,1 лоджия,На улицу,Дизайнерский,2022.0,Монолитный,Наземная,проспект Старорусский 13к2 Санкт-Петербург,16,59.829807,30.375453,59.805079,30.355825,48.29938333333334
163,298452814.0,5,10,35.0,23000,Невский,Проспект Большевиков,1.0,1.0,0.0,0.0,0.0,1.0,8.5,2.6,1.0,1 лоджия,Во двор,Косметический,1991.0,Панельный,Наземная, Джона Рида 10К1 Санкт-Петербург,13,59.919865,30.466713,59.921967,30.452394,14.023
164,298452301.0,17,20,40.0,33000,Приморский,Комендантский проспект,1.0,1.0,0.0,1.0,0.0,1.0,13.0,2.8,1.0,1 лоджия,Во двор,Евроремонт,2017.0,Панельный,Наземная,проспект Королева 73 Санкт-Петербург,6,60.008716,30.258385,60.036299,30.237463,44.284083333333335
165,298439437.0,9,23,46.5,32000,Невский,Улица Дыбенко,1.0,1.0,0.0,1.0,0.0,1.0,12.0,2.8,1.0,1 лоджия,Во двор,Евроремонт,2013.0,Монолитный,Наземная, Ворошилова 29к1 Санкт-Петербург,13,59.907437,30.483368,59.932955,30.46082,44.73886666666667
166,298439221.0,6,7,48.8,30000,Выборгский,Проспект Просвещения,0.0,0.0,0.0,0.0,0.0,1.0,14.0,3.0,1.0,1 балкон,На улицу и двор,Евроремонт,2004.0,Кирпичный,Наземная, Композиторов 10 Санкт-Петербург,9,60.051176,30.332676,60.049626,30.316452,14.708300000000001
168,298437898.0,15,21,43.0,40000,Выборгский,Пионерская,1.0,1.0,1.0,0.0,0.0,1.0,14.0,2.67277397260274,1.0,нет балкона,На улицу,Евроремонт,2012.0,Кирпичный,Открытая,Железнодорожный переулок 12 Санкт-Петербург,11,60.002517,30.296671,60.000915,30.324672,21.81705
169,298437726.0,5,13,35.0,30000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,1.0,1.0,10.6,2.6,1.0,1 балкон,Во двор,Евроремонт,2008.0,Панельный,Наземная,Шуваловский проспект 84к1 Санкт-Петербург,2,60.008716,30.258385,59.998711,30.194057,58.86318333333334
170,298436977.0,6,12,37.0,22000,Невский,Ломоносовская,1.0,1.0,0.0,0.0,0.0,1.0,9.0,2.6,1.0,1 балкон,Во двор,Косметический,1996.0,Монолитный,Наземная, Дудко 18 Санкт-Петербург,5,59.877335,30.441695,59.885413,30.428688,16.306433333333334
171,298436215.0,2,12,38.0,32000,Приморский,Комендантский проспект,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.6,1.0,нет балкона,Во двор,Евроремонт,1986.0,Панельный,Наземная, Маршала Новикова 7 Санкт-Петербург,3,60.008716,30.258385,60.01132,30.269183,11.212349999999999
172,298435732.0,15,22,51.0,54000,Приморский,Черная речка,1.0,1.0,1.0,1.0,0.0,1.0,20.0,2.8,1.0,1 лоджия,Во двор,Дизайнерский,2015.0,Монолитно-кирпичный,Наземная,Ушаковская набережная 1к4 Санкт-Петербург,7,59.985521,30.30083,59.98354,30.316003,12.549883333333334
