,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
59,295716263.0,28/11/2023  13:43,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295716263/,Санкт-Петербург,10,25,1,25.0,880,22000,Приморский,проспект Королева,57к1,Комендантский проспект,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,17.4,,2.7,,1.0,1 лоджия,Во двор,Евроремонт,2016.0,Монолитный,Нет,Наземная
60,295715293.0,28/11/2023  13:18,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295715293/,Санкт-Петербург,5,8,1,24.0,791,19000,Красносельский,проспект Ветеранов,183,Проспект Ветеранов,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,15.0,2.0,,,1.0,1 лоджия,На улицу,Косметический,2021.0,Монолитно-кирпичный,Нет,
61,295714661.0,28/11/2023  12:59,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295714661/,Санкт-Петербург,23,25,1,28.0,642,18000,Приморский, Верхне-Каменская,11к1с1,Комендантский проспект,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,,,,1 лоджия,На улицу,Евроремонт,2023.0,,Нет,
62,295713942.0,28/11/2023  12:46,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295713942/,Санкт-Петербург,1,4,1,10.0,2000,20000,Адмиралтейский,7-я Красноармейская ,15,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,,1.0,1 балкон,,Евроремонт,1861.0,Кирпичный,Нет,
63,295713938.0,28/11/2023  12:40,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295713938/,Санкт-Петербург,9,16,1,27.0,962,26000,Калининский,Кондратьевский проспект,64к9,Лесная,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,13.0,9.0,0.0,,1.0,1 балкон,,Евроремонт,2014.0,Монолитный,Нет,
64,295713899.0,28/11/2023  12:36,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295713899/,Санкт-Петербург,9,21,1,28.0,785,22000,Красносельский,Ленинский проспект,82к1,Ленинский проспект,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,2.6,,1.0,1 лоджия,,Косметический,2011.0,Монолитный,Нет,
65,295713202.0,28/11/2023  12:19,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295713202/,Санкт-Петербург,22,23,1,20.1,1094,22000,Красногвардейский,Полюстрово,8к4,Девяткино,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,1 балкон,Во двор,Косметический,2023.0,Панельный,Нет,Наземная
66,295712657.0,28/11/2023  12:12,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295712657/,Санкт-Петербург,11,11,1,21.7,1059,23000,Пушкинский,проспект Старорусский,13к2,Купчино,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,2.6,,,1 балкон,,Косметический,2022.0,Монолитный,Нет,
67,295712314.0,28/11/2023  18:38,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295712314/,Санкт-Петербург,6,8,1,26.5,641,17000,Красносельский, Генерала Кравченко,7к1,Проспект Ветеранов,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,,2.6,,1.0,1 лоджия,На улицу,Косметический,2021.0,Монолитный,Нет,
68,295711357.0,28/11/2023  11:46,29/11/2023 02:38,https://spb.cian.ru/rent/flat/295711357/,Санкт-Петербург,19,24,1,24.2,909,22000,Приморский, Плесецкая,20к1,Комендантский проспект,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,2.7,,1.0,1 балкон,Во двор,Евроремонт,2019.0,,Нет,Наземная
